query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
Body care products,"[28739, 28737, 20162, 60568, 2849, 31801, 51773, 31802, 58748, 53541, 53543, 53548, 63384, 53546, 45731, 63387, 4447, 35997, 1397, 42521]",22.19270359998336,22132,120,22252,"{28739: 0.9, 28737: 0.9, 20162: 0.8, 60568: 0.6, 2849: 0.3, 31801: 0.2, 51773: 0.2, 31802: 0.1, 58748: 0.1, 53541: 0.0, 53543: 0.0, 53548: 0.0, 63384: 0.0, 53546: 0.0, 45731: 0.0, 63387: 0.0, 4447: 0.0, 35997: 0.0, 1397: 0.0, 42521: 0.0}"
settings and options in a Gym App,"[54112, 1010, 33132, 8252, 29162, 29156, 66489, 2601, 30328, 55121, 29160, 2610, 39830, 32997, 2274, 2270, 45959, 45956, 45962, 18535]",29.574375800031703,21548,120,21668,"{54112: 1.0, 1010: 1.0, 33132: 0.9, 8252: 0.9, 29162: 0.8, 29156: 0.7, 66489: 0.7, 2601: 0.5, 30328: 0.5, 55121: 0.4, 29160: 0.3, 2610: 0.2, 39830: 0.1, 32997: 0.1, 2274: 0.0, 2270: 0.0, 45959: 0.0, 45956: 0.0, 45962: 0.0, 18535: 0.0}"
today storms updates,"[52327, 59150, 10041, 58881, 37413, 71700, 70890, 50715, 58873, 64157, 13752, 62677, 1095, 11823, 23714, 1090, 27988, 13984, 54315, 29528]",31.414949199999683,22472,120,22592,"{52327: 1.0, 59150: 1.0, 10041: 1.0, 58881: 1.0, 37413: 0.9, 71700: 0.9, 70890: 0.7, 50715: 0.6, 58873: 0.6, 64157: 0.1, 13752: 0.1, 62677: 0.1, 1095: 0.0, 11823: 0.0, 23714: 0.0, 1090: 0.0, 27988: 0.0, 13984: 0.0, 54315: 0.0, 29528: 0.0}"
a survery app with sinup and facebook login option,"[7849, 4305, 18535, 57920, 41917, 25374, 69548, 37666, 15939, 20931, 49338, 49334, 49336, 49332, 49335, 19704, 34569, 19707, 67673, 71940]",21.954824799962807,22320,120,22440,"{7849: 0.9, 4305: 0.8, 18535: 0.7, 57920: 0.7, 41917: 0.7, 25374: 0.7, 69548: 0.6, 37666: 0.4, 15939: 0.4, 20931: 0.3, 49338: 0.3, 49334: 0.3, 49336: 0.3, 49332: 0.3, 49335: 0.2, 19704: 0.0, 34569: 0.0, 19707: 0.0, 67673: 0.0, 71940: 0.0}"
down nearby picks,"[31953, 41693, 68626, 31955, 31964, 48252, 65194, 61554, 22258, 61556, 67203, 42641, 50216, 36790, 40197, 56093, 69276, 69266, 67770, 56082]",22.98078149999492,22472,120,22592,"{31953: 1.0, 41693: 1.0, 68626: 0.9, 31955: 0.8, 31964: 0.8, 48252: 0.8, 65194: 0.8, 61554: 0.7, 22258: 0.7, 61556: 0.6, 67203: 0.6, 42641: 0.6, 50216: 0.5, 36790: 0.5, 40197: 0.4, 56093: 0.4, 69276: 0.4, 69266: 0.2, 67770: 0.2, 56082: 0.1}"
screen with sample movies and information on recording with SnapMovie,"[19996, 20000, 20002, 6132, 44923, 65053, 23149, 65045, 65046, 65050, 15197, 44941, 67071, 37885, 15199, 65944, 20161, 29107, 71014, 18719]",25.545060899981763,20964,120,21084,"{19996: 1.0, 20000: 1.0, 20002: 0.6, 6132: 0.6, 44923: 0.4, 65053: 0.3, 23149: 0.3, 65045: 0.2, 65046: 0.2, 65050: 0.2, 15197: 0.2, 44941: 0.2, 67071: 0.2, 37885: 0.1, 15199: 0.1, 65944: 0.1, 20161: 0.1, 29107: 0.0, 71014: 0.0, 18719: 0.0}"
"Filter settings for choosing price range, number of beds and baths","[68029, 2834, 34423, 68027, 2839, 71793, 71794, 27692, 71427, 63632, 65001, 50515, 65000, 64993, 64989, 27833, 65924, 3089, 64988, 16889]",19.063060600019526,18948,120,19068,"{68029: 1.0, 2834: 1.0, 34423: 1.0, 68027: 0.7, 2839: 0.7, 71793: 0.3, 71794: 0.3, 27692: 0.3, 71427: 0.3, 63632: 0.2, 65001: 0.2, 50515: 0.2, 65000: 0.2, 64993: 0.2, 64989: 0.2, 27833: 0.2, 65924: 0.1, 3089: 0.1, 64988: 0.0, 16889: 0.0}"
Details about cards and numbers,"[43707, 13556, 56935, 28128, 31170, 50395, 23855, 62634, 22557, 20802, 46272, 40864, 3769, 68164, 28148, 63748, 3813, 46278, 37517, 28955]",31.532603900006507,22520,120,22640,"{43707: 1.0, 13556: 1.0, 56935: 1.0, 28128: 0.9, 31170: 0.8, 50395: 0.8, 23855: 0.7, 62634: 0.7, 22557: 0.7, 20802: 0.7, 46272: 0.6, 40864: 0.6, 3769: 0.5, 68164: 0.5, 28148: 0.4, 63748: 0.3, 3813: 0.2, 46278: 0.2, 37517: 0.1, 28955: 0.0}"
"search bar with shopping categories, discount advertisement and account maintenance","[33330, 64428, 7334, 42815, 65757, 22744, 22741, 6911, 56464, 64303, 64305, 53884, 35904, 69527, 55532, 4186, 51361, 8170, 10423, 19345]",36.55604910000693,21644,120,21764,"{33330: 1.0, 64428: 0.9, 7334: 0.8, 42815: 0.8, 65757: 0.8, 22744: 0.7, 22741: 0.6, 6911: 0.5, 56464: 0.4, 64303: 0.4, 64305: 0.4, 53884: 0.3, 35904: 0.2, 69527: 0.2, 55532: 0.2, 4186: 0.2, 51361: 0.1, 8170: 0.1, 10423: 0.1, 19345: 0.1}"
home appliances,"[25962, 25966, 40668, 9286, 9281, 9285, 68770, 51323, 13575, 59601, 52944, 17689, 30791, 66313, 66310, 66314, 1087, 66317, 23920, 58913]",23.512183199985884,20408,120,20528,"{25962: 1.0, 25966: 0.9, 40668: 0.9, 9286: 0.8, 9281: 0.8, 9285: 0.8, 68770: 0.7, 51323: 0.7, 13575: 0.7, 59601: 0.3, 52944: 0.2, 17689: 0.2, 30791: 0.1, 66313: 0.1, 66310: 0.1, 66314: 0.1, 1087: 0.0, 66317: 0.0, 23920: 0.0, 58913: 0.0}"
blood test with data entry and unit selection,"[25151, 47504, 57505, 47501, 70706, 19249, 37821, 64939, 70705, 28111, 45400, 39287, 28106, 41104, 41116, 15987, 26562, 31788, 53187, 61736]",22.225591299997177,22592,120,22712,"{25151: 1.0, 47504: 0.8, 57505: 0.5, 47501: 0.4, 70706: 0.4, 19249: 0.3, 37821: 0.3, 64939: 0.3, 70705: 0.2, 28111: 0.2, 45400: 0.1, 39287: 0.1, 28106: 0.1, 41104: 0.0, 41116: 0.0, 15987: 0.0, 26562: 0.0, 31788: 0.0, 53187: 0.0, 61736: 0.0}"
profile window with a button to take a photo or select it from galary,"[28870, 1883, 52584, 46344, 38348, 36667, 38814, 43962, 38290, 13038, 63652, 24596, 56078, 14492, 19585, 29111, 63601, 63599, 34, 12865]",27.757303200021852,23096,120,23216,"{28870: 1.0, 1883: 1.0, 52584: 1.0, 46344: 1.0, 38348: 0.9, 36667: 0.9, 38814: 0.7, 43962: 0.6, 38290: 0.6, 13038: 0.5, 63652: 0.3, 24596: 0.3, 56078: 0.1, 14492: 0.1, 19585: 0.0, 29111: 0.0, 63601: 0.0, 63599: 0.0, 34: 0.0, 12865: 0.0}"
voice changer with many buttons,"[45268, 64422, 60021, 61544, 53403, 31727, 52821, 32898, 43372, 55271, 27391, 52822, 38430, 45162, 61201, 38432, 18567, 46993, 44680, 45489]",21.97759889997542,19800,120,19920,"{45268: 0.8, 64422: 0.5, 60021: 0.4, 61544: 0.4, 53403: 0.3, 31727: 0.3, 52821: 0.2, 32898: 0.2, 43372: 0.2, 55271: 0.2, 27391: 0.2, 52822: 0.1, 38430: 0.1, 45162: 0.1, 61201: 0.1, 38432: 0.1, 18567: 0.0, 46993: 0.0, 44680: 0.0, 45489: 0.0}"
a list of songs,"[40380, 40384, 54771, 55483, 9672, 9676, 53287, 53292, 53289, 26972, 852, 61572, 29732, 9681, 53282, 9680, 48993, 70394, 9981, 47456]",22.96094359998824,22152,120,22272,"{40380: 1.0, 40384: 1.0, 54771: 1.0, 55483: 0.9, 9672: 0.8, 9676: 0.7, 53287: 0.6, 53292: 0.6, 53289: 0.6, 26972: 0.6, 852: 0.6, 61572: 0.6, 29732: 0.5, 9681: 0.4, 53282: 0.4, 9680: 0.3, 48993: 0.3, 70394: 0.2, 9981: 0.2, 47456: 0.2}"
Information with sharing and saving option,"[53446, 57917, 67334, 61684, 3772, 62888, 36879, 23149, 31172, 67440, 34569, 7260, 42402, 42407, 47400, 49344, 38513, 67673, 49336, 49332]",27.245078000007197,22204,120,22324,"{53446: 1.0, 57917: 0.9, 67334: 0.8, 61684: 0.7, 3772: 0.7, 62888: 0.5, 36879: 0.4, 23149: 0.4, 31172: 0.3, 67440: 0.3, 34569: 0.2, 7260: 0.2, 42402: 0.2, 42407: 0.2, 47400: 0.2, 49344: 0.2, 38513: 0.1, 67673: 0.1, 49336: 0.1, 49332: 0.1}"
"Shop for Men's,Women's and Kids","[25923, 479, 9506, 53496, 3495, 67659, 24213, 33044, 19033, 55910, 17860, 39575, 12421, 12424, 2453, 3526, 23941, 18147, 34549, 11267]",23.274527200032026,22568,120,22688,"{25923: 1.0, 479: 1.0, 9506: 0.8, 53496: 0.7, 3495: 0.7, 67659: 0.6, 24213: 0.6, 33044: 0.3, 19033: 0.2, 55910: 0.1, 17860: 0.1, 39575: 0.1, 12421: 0.1, 12424: 0.1, 2453: 0.1, 3526: 0.0, 23941: 0.0, 18147: 0.0, 34549: 0.0, 11267: 0.0}"
