query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
Body care products,"[20162, 28739, 28737, 60568, 2849, 31801, 31802, 51773, 53541, 53543, 53548, 63384, 53546, 58748, 45731, 63387, 4447, 35997, 1397, 42521]",17.46086859999923,45084,120,45204,"{20162: 0.9, 28739: 0.9, 28737: 0.9, 60568: 0.7, 2849: 0.2, 31801: 0.1, 31802: 0.1, 51773: 0.1, 53541: 0.0, 53543: 0.0, 53548: 0.0, 63384: 0.0, 53546: 0.0, 58748: 0.0, 45731: 0.0, 63387: 0.0, 4447: 0.0, 35997: 0.0, 1397: 0.0, 42521: 0.0}"
settings and options in a Gym App,"[1010, 33132, 8252, 29162, 54112, 29156, 66489, 2601, 30328, 29160, 2610, 55121, 39830, 32997, 18535, 2274, 2270, 45959, 45956, 45962]",16.815750600013416,41948,120,42068,"{1010: 1.0, 33132: 0.9, 8252: 0.9, 29162: 0.8, 54112: 0.7, 29156: 0.6, 66489: 0.6, 2601: 0.4, 30328: 0.4, 29160: 0.3, 2610: 0.3, 55121: 0.2, 39830: 0.1, 32997: 0.1, 18535: 0.1, 2274: 0.0, 2270: 0.0, 45959: 0.0, 45956: 0.0, 45962: 0.0}"
today storms updates,"[52327, 59150, 10041, 37413, 71700, 58881, 58873, 70890, 50715, 62677, 64157, 23714, 13752, 27988, 54315, 29528, 1095, 11823, 1090, 13984]",23.211114800011273,46700,120,46820,"{52327: 1.0, 59150: 1.0, 10041: 1.0, 37413: 0.9, 71700: 0.9, 58881: 0.9, 58873: 0.8, 70890: 0.8, 50715: 0.7, 62677: 0.2, 64157: 0.1, 23714: 0.1, 13752: 0.1, 27988: 0.1, 54315: 0.1, 29528: 0.1, 1095: 0.0, 11823: 0.0, 1090: 0.0, 13984: 0.0}"
a survery app with sinup and facebook login option,"[7849, 25374, 18535, 4305, 37666, 15939, 57920, 41917, 20931, 49338, 69548, 49334, 49336, 49332, 34569, 49335, 19704, 19707, 67673, 71940]",17.919646099966485,45272,120,45392,"{7849: 0.9, 25374: 0.9, 18535: 0.8, 4305: 0.8, 37666: 0.7, 15939: 0.7, 57920: 0.7, 41917: 0.7, 20931: 0.6, 49338: 0.6, 69548: 0.6, 49334: 0.2, 49336: 0.2, 49332: 0.2, 34569: 0.1, 49335: 0.1, 19704: 0.0, 19707: 0.0, 67673: 0.0, 71940: 0.0}"
down nearby picks,"[31953, 41693, 48252, 50216, 68626, 31955, 31964, 61556, 61554, 65194, 42641, 69266, 67203, 22258, 40197, 56093, 69276, 56082, 67770, 36790]",20.97298590000719,46700,120,46820,"{31953: 0.9, 41693: 0.9, 48252: 0.8, 50216: 0.8, 68626: 0.8, 31955: 0.7, 31964: 0.7, 61556: 0.7, 61554: 0.7, 65194: 0.7, 42641: 0.7, 69266: 0.6, 67203: 0.6, 22258: 0.5, 40197: 0.3, 56093: 0.3, 69276: 0.3, 56082: 0.1, 67770: 0.1, 36790: 0.1}"
screen with sample movies and information on recording with SnapMovie,"[19996, 20002, 20000, 65053, 23149, 65050, 65046, 44923, 65045, 15199, 44941, 6132, 37885, 15197, 67071, 20161, 29107, 71014, 18719, 65944]",16.758765699982177,38812,120,38932,"{19996: 1.0, 20002: 0.8, 20000: 0.8, 65053: 0.7, 23149: 0.6, 65050: 0.4, 65046: 0.3, 44923: 0.3, 65045: 0.2, 15199: 0.2, 44941: 0.2, 6132: 0.2, 37885: 0.1, 15197: 0.1, 67071: 0.1, 20161: 0.1, 29107: 0.0, 71014: 0.0, 18719: 0.0, 65944: 0.0}"
"Filter settings for choosing price range, number of beds and baths","[68029, 34423, 2834, 68027, 27692, 65000, 2839, 64993, 27833, 71793, 71794, 64988, 65001, 50515, 64989, 63632, 65924, 71427, 3089, 16889]",11.12763050000649,29140,120,29260,"{68029: 1.0, 34423: 1.0, 2834: 0.9, 68027: 0.7, 27692: 0.3, 65000: 0.3, 2839: 0.3, 64993: 0.3, 27833: 0.3, 71793: 0.2, 71794: 0.2, 64988: 0.2, 65001: 0.2, 50515: 0.2, 64989: 0.2, 63632: 0.1, 65924: 0.1, 71427: 0.1, 3089: 0.1, 16889: 0.0}"
Details about cards and numbers,"[43707, 13556, 56935, 28128, 20802, 23855, 62634, 22557, 50395, 40864, 46272, 31170, 63748, 68164, 3769, 3813, 28148, 46278, 28955, 37517]",12.36516520002624,46748,120,46868,"{43707: 1.0, 13556: 1.0, 56935: 1.0, 28128: 0.9, 20802: 0.9, 23855: 0.8, 62634: 0.8, 22557: 0.8, 50395: 0.8, 40864: 0.8, 46272: 0.7, 31170: 0.7, 63748: 0.7, 68164: 0.7, 3769: 0.6, 3813: 0.3, 28148: 0.3, 46278: 0.2, 28955: 0.1, 37517: 0.1}"
"search bar with shopping categories, discount advertisement and account maintenance","[33330, 7334, 42815, 64428, 53884, 65757, 6911, 22744, 64305, 64303, 22741, 35904, 56464, 51361, 69527, 55532, 4186, 19345, 8170, 10423]",14.900597799976822,42044,120,42164,"{33330: 0.9, 7334: 0.8, 42815: 0.8, 64428: 0.8, 53884: 0.7, 65757: 0.7, 6911: 0.6, 22744: 0.5, 64305: 0.5, 64303: 0.4, 22741: 0.3, 35904: 0.2, 56464: 0.2, 51361: 0.1, 69527: 0.1, 55532: 0.1, 4186: 0.1, 19345: 0.1, 8170: 0.0, 10423: 0.0}"
home appliances,"[9286, 25962, 40668, 68770, 9281, 25966, 9285, 13575, 59601, 51323, 52944, 17689, 30791, 66317, 66314, 1087, 66313, 66310, 23920, 58913]",16.06317290000152,36980,120,37100,"{9286: 0.9, 25962: 0.9, 40668: 0.9, 68770: 0.8, 9281: 0.8, 25966: 0.8, 9285: 0.8, 13575: 0.7, 59601: 0.6, 51323: 0.3, 52944: 0.2, 17689: 0.2, 30791: 0.1, 66317: 0.1, 66314: 0.1, 1087: 0.0, 66313: 0.0, 66310: 0.0, 23920: 0.0, 58913: 0.0}"
