query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
Body care products,"[20162, 28739, 28737, 60568, 2849, 58748, 51773, 31801, 31802, 42521, 53541, 53543, 53548, 53546, 45731, 35997, 1397, 63384, 63387, 4447]",5.170890900000813,3875,120,3995,"{20162: 0.9, 28739: 0.9, 28737: 0.8, 60568: 0.7, 2849: 0.3, 58748: 0.3, 51773: 0.3, 31801: 0.2, 31802: 0.2, 42521: 0.2, 53541: 0.1, 53543: 0.1, 53548: 0.1, 53546: 0.1, 45731: 0.1, 35997: 0.1, 1397: 0.1, 63384: 0.0, 63387: 0.0, 4447: 0.0}"
settings and options in a Gym App,"[1010, 54112, 33132, 8252, 66489, 29156, 30328, 2601, 39830, 29162, 29160, 55121, 2610, 32997, 18535, 2274, 2270, 45959, 45956, 45962]",4.447852500001318,3866,120,3986,"{1010: 1.0, 54112: 0.9, 33132: 0.9, 8252: 0.9, 66489: 0.7, 29156: 0.6, 30328: 0.6, 2601: 0.4, 39830: 0.3, 29162: 0.3, 29160: 0.3, 55121: 0.3, 2610: 0.2, 32997: 0.1, 18535: 0.1, 2274: 0.0, 2270: 0.0, 45959: 0.0, 45956: 0.0, 45962: 0.0}"
today storms updates,"[52327, 59150, 58873, 58881, 71700, 70890, 37413, 10041, 50715, 13752, 13984, 62677, 64157, 54315, 1095, 23714, 27988, 29528, 11823, 1090]",6.662657400003809,3732,120,3852,"{52327: 1.0, 59150: 1.0, 58873: 1.0, 58881: 1.0, 71700: 0.9, 70890: 0.9, 37413: 0.8, 10041: 0.8, 50715: 0.7, 13752: 0.6, 13984: 0.3, 62677: 0.3, 64157: 0.2, 54315: 0.2, 1095: 0.1, 23714: 0.1, 27988: 0.1, 29528: 0.1, 11823: 0.0, 1090: 0.0}"
a survery app with sinup and facebook login option,"[7849, 18535, 4305, 41917, 25374, 57920, 37666, 69548, 20931, 15939, 19704, 19707, 49335, 49334, 49336, 49332, 34569, 67673, 49338, 71940]",4.944062100003066,3545,120,3665,"{7849: 1.0, 18535: 0.9, 4305: 0.9, 41917: 0.9, 25374: 0.9, 57920: 0.8, 37666: 0.7, 69548: 0.7, 20931: 0.6, 15939: 0.6, 19704: 0.1, 19707: 0.1, 49335: 0.1, 49334: 0.1, 49336: 0.1, 49332: 0.1, 34569: 0.0, 67673: 0.0, 49338: 0.0, 71940: 0.0}"
down nearby picks,"[31953, 41693, 61556, 22258, 61554, 48252, 50216, 68626, 40197, 56093, 65194, 69276, 67203, 42641, 36790, 69266, 31955, 31964, 56082, 67770]",4.432024800000363,3432,120,3552,"{31953: 1.0, 41693: 0.9, 61556: 0.9, 22258: 0.9, 61554: 0.8, 48252: 0.8, 50216: 0.8, 68626: 0.8, 40197: 0.7, 56093: 0.7, 65194: 0.7, 69276: 0.7, 67203: 0.6, 42641: 0.6, 36790: 0.3, 69266: 0.2, 31955: 0.1, 31964: 0.1, 56082: 0.1, 67770: 0.1}"
screen with sample movies and information on recording with SnapMovie,"[19996, 20000, 20002, 44923, 65045, 23149, 15199, 65046, 44941, 65050, 65053, 6132, 15197, 37885, 71014, 67071, 29107, 18719, 65944, 20161]",4.801521099994716,3594,120,3714,"{19996: 1.0, 20000: 0.9, 20002: 0.7, 44923: 0.7, 65045: 0.6, 23149: 0.6, 15199: 0.5, 65046: 0.4, 44941: 0.4, 65050: 0.3, 65053: 0.3, 6132: 0.3, 15197: 0.2, 37885: 0.1, 71014: 0.1, 67071: 0.1, 29107: 0.0, 18719: 0.0, 65944: 0.0, 20161: 0.0}"
"Filter settings for choosing price range, number of beds and baths","[68029, 34423, 2834, 68027, 71427, 50515, 2839, 3089, 16889, 71793, 71794, 64988, 64989, 63632, 65924, 27692, 65000, 64993, 27833, 65001]",4.711170599999605,4007,120,4127,"{68029: 1.0, 34423: 1.0, 2834: 0.9, 68027: 0.9, 71427: 0.9, 50515: 0.6, 2839: 0.5, 3089: 0.5, 16889: 0.4, 71793: 0.3, 71794: 0.3, 64988: 0.3, 64989: 0.3, 63632: 0.2, 65924: 0.2, 27692: 0.2, 65000: 0.2, 64993: 0.2, 27833: 0.2, 65001: 0.1}"
Details about cards and numbers,"[43707, 31170, 13556, 56935, 50395, 68164, 3769, 28128, 20802, 40864, 3813, 62634, 22557, 28148, 46272, 37517, 23855, 63748, 46278, 28955]",4.532954199996311,3570,120,3690,"{43707: 1.0, 31170: 0.9, 13556: 0.9, 56935: 0.9, 50395: 0.8, 68164: 0.8, 3769: 0.7, 28128: 0.7, 20802: 0.7, 40864: 0.7, 3813: 0.6, 62634: 0.6, 22557: 0.6, 28148: 0.6, 46272: 0.5, 37517: 0.5, 23855: 0.4, 63748: 0.2, 46278: 0.1, 28955: 0.1}"
"search bar with shopping categories, discount advertisement and account maintenance","[33330, 7334, 42815, 64428, 22741, 65757, 22744, 6911, 53884, 64303, 69527, 55532, 64305, 51361, 8170, 56464, 19345, 35904, 4186, 10423]",4.915443899997626,3722,120,3842,"{33330: 0.9, 7334: 0.8, 42815: 0.8, 64428: 0.8, 22741: 0.7, 65757: 0.7, 22744: 0.6, 6911: 0.5, 53884: 0.4, 64303: 0.4, 69527: 0.3, 55532: 0.3, 64305: 0.3, 51361: 0.2, 8170: 0.2, 56464: 0.2, 19345: 0.2, 35904: 0.1, 4186: 0.1, 10423: 0.1}"
home appliances,"[25962, 9286, 9281, 9285, 25966, 40668, 68770, 13575, 51323, 59601, 52944, 17689, 23920, 30791, 66317, 66313, 66310, 58913, 66314, 1087]",4.641140300002007,3776,120,3896,"{25962: 1.0, 9286: 0.9, 9281: 0.9, 9285: 0.9, 25966: 0.8, 40668: 0.8, 68770: 0.7, 13575: 0.7, 51323: 0.6, 59601: 0.6, 52944: 0.3, 17689: 0.2, 23920: 0.2, 30791: 0.1, 66317: 0.1, 66313: 0.1, 66310: 0.1, 58913: 0.1, 66314: 0.1, 1087: 0.0}"
blood test with data entry and unit selection,"[25151, 47501, 47504, 70706, 70705, 57505, 28111, 19249, 37821, 64939, 28106, 41116, 45400, 39287, 41104, 15987, 26562, 31788, 53187, 61736]",4.655372400004126,3493,120,3613,"{25151: 0.9, 47501: 0.7, 47504: 0.7, 70706: 0.7, 70705: 0.5, 57505: 0.5, 28111: 0.3, 19249: 0.3, 37821: 0.3, 64939: 0.3, 28106: 0.2, 41116: 0.1, 45400: 0.1, 39287: 0.1, 41104: 0.0, 15987: 0.0, 26562: 0.0, 31788: 0.0, 53187: 0.0, 61736: 0.0}"
profile window with a button to take a photo or select it from galary,"[38348, 1883, 52584, 28870, 36667, 46344, 43962, 38814, 13038, 38290, 63652, 24596, 56078, 29111, 63599, 19585, 63601, 14492, 34, 12865]",4.544901599998411,3517,120,3637,"{38348: 1.0, 1883: 1.0, 52584: 1.0, 28870: 0.9, 36667: 0.9, 46344: 0.9, 43962: 0.8, 38814: 0.8, 13038: 0.8, 38290: 0.6, 63652: 0.2, 24596: 0.2, 56078: 0.1, 29111: 0.1, 63599: 0.1, 19585: 0.0, 63601: 0.0, 14492: 0.0, 34: 0.0, 12865: 0.0}"
voice changer with many buttons,"[45268, 64422, 53403, 60021, 52821, 61201, 31727, 61544, 45162, 55271, 52822, 46993, 38430, 44680, 32898, 43372, 38432, 27391, 18567, 45489]",5.6812006999971345,3350,120,3470,"{45268: 0.7, 64422: 0.7, 53403: 0.6, 60021: 0.5, 52821: 0.3, 61201: 0.3, 31727: 0.3, 61544: 0.2, 45162: 0.2, 55271: 0.2, 52822: 0.1, 46993: 0.1, 38430: 0.1, 44680: 0.1, 32898: 0.1, 43372: 0.1, 38432: 0.1, 27391: 0.1, 18567: 0.0, 45489: 0.0}"
a list of songs,"[55483, 40384, 54771, 40380, 9680, 9672, 9676, 61572, 53287, 852, 53292, 9981, 29732, 53289, 26972, 47456, 9681, 53282, 48993, 70394]",4.3414787000001525,3629,120,3749,"{55483: 1.0, 40384: 1.0, 54771: 1.0, 40380: 0.9, 9680: 0.9, 9672: 0.9, 9676: 0.9, 61572: 0.9, 53287: 0.8, 852: 0.8, 53292: 0.7, 9981: 0.7, 29732: 0.7, 53289: 0.6, 26972: 0.6, 47456: 0.6, 9681: 0.5, 53282: 0.4, 48993: 0.3, 70394: 0.2}"
Information with sharing and saving option,"[53446, 57917, 3772, 61684, 62888, 47400, 36879, 31172, 42402, 42407, 67440, 38513, 34569, 67673, 23149, 67334, 7260, 49336, 49332, 49344]",4.351018900000781,3303,120,3423,"{53446: 1.0, 57917: 0.9, 3772: 0.9, 61684: 0.8, 62888: 0.7, 47400: 0.7, 36879: 0.5, 31172: 0.3, 42402: 0.3, 42407: 0.3, 67440: 0.3, 38513: 0.2, 34569: 0.2, 67673: 0.2, 23149: 0.2, 67334: 0.1, 7260: 0.1, 49336: 0.1, 49332: 0.1, 49344: 0.1}"
"Shop for Men's,Women's and Kids","[53496, 479, 9506, 25923, 3495, 67659, 33044, 24213, 19033, 2453, 55910, 39575, 12421, 12424, 3526, 23941, 18147, 17860, 34549, 11267]",4.692825999998604,3732,120,3852,"{53496: 1.0, 479: 1.0, 9506: 0.9, 25923: 0.9, 3495: 0.9, 67659: 0.8, 33044: 0.6, 24213: 0.6, 19033: 0.3, 2453: 0.3, 55910: 0.2, 39575: 0.2, 12421: 0.2, 12424: 0.2, 3526: 0.1, 23941: 0.1, 18147: 0.0, 17860: 0.0, 34549: 0.0, 11267: 0.0}"
home page of dictionary with word of day,"[61315, 7799, 8146, 61344, 61339, 35614, 11593, 61333, 61348, 61345, 71913, 63971, 45665, 48413, 71905, 28481, 2266, 71902, 27819, 30659]",4.929212000002735,3703,120,3823,"{61315: 1.0, 7799: 0.9, 8146: 0.9, 61344: 0.7, 61339: 0.7, 35614: 0.7, 11593: 0.7, 61333: 0.6, 61348: 0.6, 61345: 0.5, 71913: 0.5, 63971: 0.3, 45665: 0.2, 48413: 0.2, 71905: 0.2, 28481: 0.2, 2266: 0.1, 71902: 0.1, 27819: 0.0, 30659: 0.0}"
It display the Map with search bar,"[52816, 60544, 66563, 60543, 43743, 66555, 48325, 52129, 62878, 28540, 14689, 29647, 49178, 65263, 54527, 32239, 32246, 9978, 9970, 30729]",3.9798569999984466,3589,120,3709,"{52816: 1.0, 60544: 1.0, 66563: 1.0, 60543: 1.0, 43743: 0.9, 66555: 0.9, 48325: 0.9, 52129: 0.8, 62878: 0.8, 28540: 0.8, 14689: 0.7, 29647: 0.6, 49178: 0.4, 65263: 0.3, 54527: 0.3, 32239: 0.0, 32246: 0.0, 9978: 0.0, 9970: 0.0, 30729: 0.0}"
Tiny Scanner,"[60292, 64675, 33692, 62591, 66344, 68681, 42569, 60293, 64676, 60291, 42568, 6134, 59411, 66873, 58984, 1764, 6787, 33506, 60307, 6585]",4.862883299996611,3388,120,3508,"{60292: 1.0, 64675: 1.0, 33692: 0.9, 62591: 0.9, 66344: 0.8, 68681: 0.4, 42569: 0.3, 60293: 0.3, 64676: 0.3, 60291: 0.3, 42568: 0.2, 6134: 0.2, 59411: 0.2, 66873: 0.1, 58984: 0.1, 1764: 0.1, 6787: 0.1, 33506: 0.1, 60307: 0.1, 6585: 0.0}"
Login with radio button with calendar,"[22878, 59581, 35133, 29481, 65193, 9149, 59568, 54640, 22542, 35129, 33336, 47741, 59570, 35128, 9559, 71519, 64081, 59561, 71512, 71515]",5.194298599999456,3388,120,3508,"{22878: 0.9, 59581: 0.7, 35133: 0.6, 29481: 0.6, 65193: 0.5, 9149: 0.5, 59568: 0.4, 54640: 0.4, 22542: 0.3, 35129: 0.3, 33336: 0.3, 47741: 0.2, 59570: 0.2, 35128: 0.2, 9559: 0.1, 71519: 0.1, 64081: 0.1, 59561: 0.0, 71512: 0.0, 71515: 0.0}"
sign up with welcome Bonus,"[34735, 34739, 57558, 66116, 42979, 15879, 13707, 10119, 41205, 35776, 43632, 1851, 53258, 36003, 63931, 36001, 63920, 53432, 46962, 53421]",7.323989899996377,3699,120,3819,"{34735: 1.0, 34739: 1.0, 57558: 1.0, 66116: 0.9, 42979: 0.8, 15879: 0.7, 13707: 0.7, 10119: 0.7, 41205: 0.6, 35776: 0.6, 43632: 0.5, 1851: 0.4, 53258: 0.3, 36003: 0.2, 63931: 0.2, 36001: 0.1, 63920: 0.1, 53432: 0.0, 46962: 0.0, 53421: 0.0}"
a news and an advertisement,"[54133, 7743, 26746, 13837, 51334, 71379, 68871, 10809, 1565, 64701, 68882, 68886, 68816, 16515, 7758, 60725, 10078, 65048, 10090, 1570]",6.167235000000801,3660,120,3780,"{54133: 1.0, 7743: 1.0, 26746: 0.9, 13837: 0.9, 51334: 0.9, 71379: 0.8, 68871: 0.8, 10809: 0.8, 1565: 0.7, 64701: 0.7, 68882: 0.7, 68886: 0.6, 68816: 0.5, 16515: 0.4, 7758: 0.4, 60725: 0.3, 10078: 0.3, 65048: 0.2, 10090: 0.1, 1570: 0.1}"
a sreen to enter the personal details,"[57264, 68242, 15665, 20780, 58266, 2783, 20785, 58129, 37508, 32392, 65494, 48806, 66701, 23654, 53041, 20850, 31142, 50422, 19835, 49259]",5.827961099996173,3573,120,3693,"{57264: 1.0, 68242: 1.0, 15665: 0.9, 20780: 0.8, 58266: 0.8, 2783: 0.7, 20785: 0.6, 58129: 0.6, 37508: 0.3, 32392: 0.2, 65494: 0.2, 48806: 0.2, 66701: 0.1, 23654: 0.1, 53041: 0.1, 20850: 0.1, 31142: 0.0, 50422: 0.0, 19835: 0.0, 49259: 0.0}"
displays the latest news in page,"[3318, 53555, 54133, 71379, 16515, 36310, 47802, 68523, 1205, 23820, 15067, 70822, 56160, 65007, 36328, 20452, 39554, 42736, 18565, 23219]",8.345743500001845,3693,120,3813,"{3318: 1.0, 53555: 0.9, 54133: 0.9, 71379: 0.9, 16515: 0.9, 36310: 0.8, 47802: 0.7, 68523: 0.7, 1205: 0.7, 23820: 0.6, 15067: 0.6, 70822: 0.6, 56160: 0.5, 65007: 0.4, 36328: 0.3, 20452: 0.2, 39554: 0.2, 42736: 0.2, 18565: 0.1, 23219: 0.0}"
celebrity news,"[64845, 35531, 62374, 50096, 8198, 54133, 66386, 39166, 41590, 13837, 18870, 43824, 1570, 1565, 71379, 16515, 62454, 43051, 62518, 36553]",7.43443870000192,3483,120,3603,"{64845: 1.0, 35531: 1.0, 62374: 1.0, 50096: 0.9, 8198: 0.8, 54133: 0.4, 66386: 0.4, 39166: 0.4, 41590: 0.4, 13837: 0.3, 18870: 0.3, 43824: 0.3, 1570: 0.2, 1565: 0.2, 71379: 0.1, 16515: 0.1, 62454: 0.1, 43051: 0.1, 62518: 0.1, 36553: 0.0}"
2D graph with a point and its dimensions,"[61057, 54498, 54506, 54503, 28171, 28178, 54499, 44202, 54502, 20334, 12651, 18785, 2182, 51884, 10143, 68768, 36669, 28616, 20329, 64823]",5.076935800003412,3509,120,3629,"{61057: 1.0, 54498: 0.9, 54506: 0.9, 54503: 0.9, 28171: 0.9, 28178: 0.9, 54499: 0.7, 44202: 0.7, 54502: 0.4, 20334: 0.4, 12651: 0.3, 18785: 0.3, 2182: 0.2, 51884: 0.2, 10143: 0.2, 68768: 0.1, 36669: 0.1, 28616: 0.1, 20329: 0.1, 64823: 0.0}"
blood glucose tracker side bar,"[47499, 47504, 5816, 51782, 47505, 8520, 47502, 57507, 4688, 71582, 47503, 39600, 4503, 58146, 39596, 64939, 69142, 37821, 68962, 5803]",5.603079599997727,3893,120,4013,"{47499: 1.0, 47504: 1.0, 5816: 0.9, 51782: 0.8, 47505: 0.7, 8520: 0.7, 47502: 0.6, 57507: 0.6, 4688: 0.3, 71582: 0.2, 47503: 0.2, 39600: 0.2, 4503: 0.2, 58146: 0.1, 39596: 0.1, 64939: 0.1, 69142: 0.1, 37821: 0.1, 68962: 0.1, 5803: 0.0}"
Japanese anime books and ads,"[50541, 24769, 1616, 57209, 26793, 40153, 4000, 61351, 25345, 14602, 22219, 22216, 52517, 39171, 39173, 24714, 6968, 25397, 62637, 45340]",5.521152600005735,3501,120,3621,"{50541: 1.0, 24769: 0.9, 1616: 0.8, 57209: 0.8, 26793: 0.7, 40153: 0.7, 4000: 0.6, 61351: 0.6, 25345: 0.4, 14602: 0.3, 22219: 0.3, 22216: 0.2, 52517: 0.2, 39171: 0.2, 39173: 0.2, 24714: 0.1, 6968: 0.1, 25397: 0.1, 62637: 0.1, 45340: 0.0}"
"weather details with temperature, pressure and relative humidity","[53167, 66930, 46540, 36332, 37413, 35327, 36325, 54919, 25852, 28349, 26022, 51071, 54533, 63695, 29312, 58863, 68011, 25849, 65446, 54924]",4.284589500006405,3516,120,3636,"{53167: 1.0, 66930: 1.0, 46540: 1.0, 36332: 1.0, 37413: 1.0, 35327: 0.9, 36325: 0.9, 54919: 0.9, 25852: 0.9, 28349: 0.9, 26022: 0.9, 51071: 0.9, 54533: 0.9, 63695: 0.5, 29312: 0.2, 58863: 0.2, 68011: 0.2, 25849: 0.2, 65446: 0.1, 54924: 0.1}"
details for disclaimer,"[39263, 39211, 38067, 24293, 46997, 70874, 39212, 32973, 41826, 46418, 62943, 62940, 16662, 63619, 40654, 40640, 40641, 67984, 49259, 10772]",7.059914100005699,3556,120,3676,"{39263: 1.0, 39211: 1.0, 38067: 1.0, 24293: 0.9, 46997: 0.9, 70874: 0.9, 39212: 0.8, 32973: 0.7, 41826: 0.7, 46418: 0.4, 62943: 0.3, 62940: 0.3, 16662: 0.3, 63619: 0.2, 40654: 0.1, 40640: 0.1, 40641: 0.1, 67984: 0.1, 49259: 0.1, 10772: 0.0}"
information description with login button,"[13352, 5593, 61528, 27758, 32639, 7293, 46884, 71511, 16266, 19432, 69952, 25112, 42470, 29177, 63599, 12865, 61236, 61167, 63601, 33358]",4.585143700001936,3246,120,3366,"{13352: 1.0, 5593: 1.0, 61528: 1.0, 27758: 1.0, 32639: 0.9, 7293: 0.9, 46884: 0.9, 71511: 0.8, 16266: 0.8, 19432: 0.8, 69952: 0.7, 25112: 0.7, 42470: 0.3, 29177: 0.2, 63599: 0.1, 12865: 0.1, 61236: 0.1, 61167: 0.1, 63601: 0.0, 33358: 0.0}"
google map with details,"[12353, 70756, 60544, 53736, 63614, 63609, 16910, 2210, 12388, 57641, 2211, 2754, 24475, 2543, 2209, 13254, 13257, 56256, 42723, 56275]",5.20710649999819,3567,120,3687,"{12353: 1.0, 70756: 1.0, 60544: 1.0, 53736: 1.0, 63614: 0.9, 63609: 0.8, 16910: 0.8, 2210: 0.7, 12388: 0.7, 57641: 0.6, 2211: 0.6, 2754: 0.6, 24475: 0.6, 2543: 0.4, 2209: 0.4, 13254: 0.3, 13257: 0.3, 56256: 0.3, 42723: 0.3, 56275: 0.0}"
2D model of solunar clock,"[54641, 54642, 69797, 29683, 31205, 44683, 17913, 54643, 3856, 30607, 38688, 47241, 47254, 24037, 24042, 24027, 23601, 3294, 18248, 40998]",4.745819000003394,3651,120,3771,"{54641: 1.0, 54642: 0.9, 69797: 0.9, 29683: 0.3, 31205: 0.3, 44683: 0.3, 17913: 0.3, 54643: 0.2, 3856: 0.2, 30607: 0.2, 38688: 0.2, 47241: 0.2, 47254: 0.2, 24037: 0.0, 24042: 0.0, 24027: 0.0, 23601: 0.0, 3294: 0.0, 18248: 0.0, 40998: 0.0}"
add location by pinning the place,"[40686, 61703, 3920, 62872, 10610, 43193, 71246, 50631, 1469, 3924, 59525, 43184, 9898, 8574, 45909, 28150, 64891, 64888, 64897, 28124]",4.5850829999981215,3779,120,3899,"{40686: 0.9, 61703: 0.9, 3920: 0.9, 62872: 0.9, 10610: 0.8, 43193: 0.8, 71246: 0.8, 50631: 0.7, 1469: 0.6, 3924: 0.6, 59525: 0.6, 43184: 0.6, 9898: 0.5, 8574: 0.4, 45909: 0.2, 28150: 0.1, 64891: 0.1, 64888: 0.0, 64897: 0.0, 28124: 0.0}"
various emojis,"[62124, 61714, 38291, 39106, 13442, 22928, 10909, 38349, 38363, 6854, 26243, 4205, 64948, 17567, 46156, 71, 2524, 70498, 37295, 70500]",5.559781700001622,3505,120,3625,"{62124: 1.0, 61714: 1.0, 38291: 1.0, 39106: 0.9, 13442: 0.9, 22928: 0.7, 10909: 0.6, 38349: 0.4, 38363: 0.4, 6854: 0.2, 26243: 0.0, 4205: 0.0, 64948: 0.0, 17567: 0.0, 46156: 0.0, 71: 0.0, 2524: 0.0, 70498: 0.0, 37295: 0.0, 70500: 0.0}"
