query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
Body care products,"[28739, 28737, 20162, 2849, 31802, 63387, 53541, 31801, 53543, 53548, 58748, 45731, 4447, 63384, 53546, 51773, 35997, 1397, 60568, 42521]",18.200265699997544,67907,120,68027,"{28739: 0.8, 28737: 0.8, 20162: 0.2, 2849: 0.2, 31802: 0.2, 63387: 0.2, 53541: 0.1, 31801: 0.1, 53543: 0.1, 53548: 0.1, 58748: 0.1, 45731: 0.1, 4447: 0.1, 63384: 0.0, 53546: 0.0, 51773: 0.0, 35997: 0.0, 1397: 0.0, 60568: 0.0, 42521: 0.0}"
settings and options in a Gym App,"[1010, 2610, 29156, 29162, 33132, 29160, 55121, 39830, 54112, 45962, 32997, 8252, 2601, 66489, 30328, 18535, 2274, 2270, 45959, 45956]",16.606257200008258,63093,127,63220,"{1010: 0.8, 2610: 0.8, 29156: 0.2, 29162: 0.2, 33132: 0.2, 29160: 0.2, 55121: 0.2, 39830: 0.1, 54112: 0.1, 45962: 0.1, 32997: 0.1, 8252: 0.1, 2601: 0.1, 66489: 0.1, 30328: 0.1, 18535: 0.1, 2274: 0.0, 2270: 0.0, 45959: 0.0, 45956: 0.0}"
today storms updates,"[59150, 37413, 71700, 10041, 11823, 1090, 1095, 23714, 13752, 62677, 64157, 52327, 50715, 27988, 58881, 58873, 13984, 54315, 70890, 29528]",20.57019279996166,70362,127,70489,"{59150: 0.9, 37413: 0.8, 71700: 0.4, 10041: 0.4, 11823: 0.3, 1090: 0.3, 1095: 0.2, 23714: 0.2, 13752: 0.2, 62677: 0.2, 64157: 0.1, 52327: 0.1, 50715: 0.1, 27988: 0.1, 58881: 0.1, 58873: 0.0, 13984: 0.0, 54315: 0.0, 70890: 0.0, 29528: 0.0}"
a survery app with sinup and facebook login option,"[15939, 4305, 25374, 69548, 34569, 57920, 41917, 49334, 49336, 49335, 71940, 49332, 37666, 19704, 20931, 19707, 67673, 18535, 7849, 49338]",15.74765789997764,68095,103,68198,"{15939: 0.8, 4305: 0.8, 25374: 0.8, 69548: 0.3, 34569: 0.2, 57920: 0.2, 41917: 0.2, 49334: 0.2, 49336: 0.2, 49335: 0.1, 71940: 0.1, 49332: 0.1, 37666: 0.0, 19704: 0.0, 20931: 0.0, 19707: 0.0, 67673: 0.0, 18535: 0.0, 7849: 0.0, 49338: 0.0}"
down nearby picks,"[31953, 31955, 31964, 69266, 40197, 56082, 50216, 68626, 61556, 56093, 61554, 65194, 22258, 67203, 41693, 48252, 69276, 67770, 42641, 36790]",13.918640499992762,70362,127,70489,"{31953: 1.0, 31955: 0.8, 31964: 0.8, 69266: 0.2, 40197: 0.2, 56082: 0.2, 50216: 0.2, 68626: 0.2, 61556: 0.1, 56093: 0.1, 61554: 0.1, 65194: 0.1, 22258: 0.1, 67203: 0.1, 41693: 0.0, 48252: 0.0, 69276: 0.0, 67770: 0.0, 42641: 0.0, 36790: 0.0}"
screen with sample movies and information on recording with SnapMovie,"[19996, 20000, 18719, 44923, 20002, 29107, 65046, 71014, 65050, 15199, 15197, 65053, 65944, 44941, 23149, 6132, 37885, 65045, 67071, 20161]",14.845601300010458,58279,120,58399,"{19996: 0.2, 20000: 0.2, 18719: 0.2, 44923: 0.2, 20002: 0.1, 29107: 0.1, 65046: 0.1, 71014: 0.1, 65050: 0.1, 15199: 0.1, 15197: 0.1, 65053: 0.1, 65944: 0.1, 44941: 0.1, 23149: 0.1, 6132: 0.1, 37885: 0.0, 65045: 0.0, 67071: 0.0, 20161: 0.0}"
"Filter settings for choosing price range, number of beds and baths","[68029, 2834, 50515, 64993, 2839, 63632, 71794, 27692, 71427, 34423, 71793, 68027, 65000, 64989, 3089, 65924, 27833, 16889, 64988, 65001]",12.3450426000054,43573,127,43700,"{68029: 0.8, 2834: 0.8, 50515: 0.8, 64993: 0.8, 2839: 0.7, 63632: 0.4, 71794: 0.4, 27692: 0.4, 71427: 0.4, 34423: 0.4, 71793: 0.3, 68027: 0.2, 65000: 0.2, 64989: 0.2, 3089: 0.2, 65924: 0.1, 27833: 0.1, 16889: 0.1, 64988: 0.0, 65001: 0.0}"
Details about cards and numbers,"[3813, 31170, 43707, 3769, 23855, 28128, 62634, 22557, 63748, 50395, 40864, 37517, 46272, 46278, 28955, 13556, 20802, 56935, 28148, 68164]",16.050994899997022,70410,120,70530,"{3813: 0.8, 31170: 0.8, 43707: 0.4, 3769: 0.2, 23855: 0.2, 28128: 0.2, 62634: 0.2, 22557: 0.2, 63748: 0.2, 50395: 0.2, 40864: 0.2, 37517: 0.2, 46272: 0.1, 46278: 0.1, 28955: 0.1, 13556: 0.1, 20802: 0.1, 56935: 0.1, 28148: 0.1, 68164: 0.1}"
"search bar with shopping categories, discount advertisement and account maintenance","[42815, 33330, 6911, 69527, 55532, 64428, 64303, 64305, 8170, 53884, 56464, 65757, 19345, 22741, 35904, 51361, 7334, 22744, 4186, 10423]",12.511789200012572,63189,141,63330,"{42815: 0.8, 33330: 0.8, 6911: 0.3, 69527: 0.2, 55532: 0.2, 64428: 0.2, 64303: 0.2, 64305: 0.2, 8170: 0.1, 53884: 0.1, 56464: 0.1, 65757: 0.1, 19345: 0.1, 22741: 0.0, 35904: 0.0, 51361: 0.0, 7334: 0.0, 22744: 0.0, 4186: 0.0, 10423: 0.0}"
home appliances,"[9281, 59601, 58913, 51323, 40668, 9285, 30791, 17689, 25966, 25962, 66314, 13575, 66317, 66313, 66310, 23920, 68770, 1087, 52944, 9286]",9.709760800004005,55608,96,55704,"{9281: 1.0, 59601: 1.0, 58913: 1.0, 51323: 0.8, 40668: 0.8, 9285: 0.8, 30791: 0.2, 17689: 0.2, 25966: 0.2, 25962: 0.2, 66314: 0.2, 13575: 0.2, 66317: 0.1, 66313: 0.1, 66310: 0.1, 23920: 0.1, 68770: 0.0, 1087: 0.0, 52944: 0.0, 9286: 0.0}"
blood test with data entry and unit selection,"[31788, 57505, 25151, 41104, 19249, 39287, 64939, 47501, 70705, 28111, 41116, 45400, 47504, 15987, 70706, 28106, 37821, 26562, 53187, 61736]",17.48477099998854,70482,134,70616,"{31788: 0.8, 57505: 0.3, 25151: 0.2, 41104: 0.2, 19249: 0.2, 39287: 0.2, 64939: 0.2, 47501: 0.1, 70705: 0.1, 28111: 0.1, 41116: 0.1, 45400: 0.1, 47504: 0.1, 15987: 0.1, 70706: 0.1, 28106: 0.1, 37821: 0.1, 26562: 0.1, 53187: 0.0, 61736: 0.0}"
profile window with a button to take a photo or select it from galary,"[38348, 13038, 63599, 43962, 28870, 19585, 38814, 1883, 52584, 56078, 29111, 36667, 63601, 46344, 12865, 63652, 14492, 34, 24596, 38290]",20.0790545999771,73101,127,73228,"{38348: 1.0, 13038: 0.9, 63599: 0.8, 43962: 0.2, 28870: 0.2, 19585: 0.2, 38814: 0.2, 1883: 0.2, 52584: 0.2, 56078: 0.1, 29111: 0.1, 36667: 0.1, 63601: 0.1, 46344: 0.1, 12865: 0.1, 63652: 0.0, 14492: 0.0, 34: 0.0, 24596: 0.0, 38290: 0.0}"
voice changer with many buttons,"[46993, 52821, 60021, 38430, 45268, 61544, 44680, 61201, 55271, 27391, 52822, 18567, 64422, 32898, 43372, 38432, 31727, 45489, 45162, 53403]",14.653622700017877,50770,134,50904,"{46993: 0.8, 52821: 0.4, 60021: 0.3, 38430: 0.3, 45268: 0.2, 61544: 0.2, 44680: 0.2, 61201: 0.2, 55271: 0.2, 27391: 0.2, 52822: 0.1, 18567: 0.1, 64422: 0.1, 32898: 0.1, 43372: 0.1, 38432: 0.1, 31727: 0.1, 45489: 0.1, 45162: 0.0, 53403: 0.0}"
a list of songs,"[29732, 54771, 852, 61572, 55483, 40384, 9672, 9676, 9681, 26972, 53287, 70394, 9981, 47456, 48993, 40380, 53292, 53289, 9680, 53282]",16.3417978999787,67927,120,68047,"{29732: 1.0, 54771: 1.0, 852: 0.9, 61572: 0.9, 55483: 0.8, 40384: 0.8, 9672: 0.8, 9676: 0.8, 9681: 0.7, 26972: 0.3, 53287: 0.2, 70394: 0.2, 9981: 0.2, 47456: 0.2, 48993: 0.2, 40380: 0.1, 53292: 0.1, 53289: 0.1, 9680: 0.1, 53282: 0.1}"
Information with sharing and saving option,"[53446, 61684, 38513, 3772, 36879, 31172, 67334, 7260, 42402, 42407, 67440, 47400, 49344, 62888, 34569, 67673, 49336, 49332, 23149, 57917]",19.9782956999843,67979,120,68099,"{53446: 0.4, 61684: 0.3, 38513: 0.3, 3772: 0.3, 36879: 0.2, 31172: 0.2, 67334: 0.2, 7260: 0.2, 42402: 0.2, 42407: 0.2, 67440: 0.2, 47400: 0.2, 49344: 0.2, 62888: 0.1, 34569: 0.1, 67673: 0.1, 49336: 0.1, 49332: 0.1, 23149: 0.1, 57917: 0.0}"
"Shop for Men's,Women's and Kids","[55910, 53496, 67659, 479, 25923, 39575, 3526, 18147, 12421, 9506, 19033, 17860, 3495, 12424, 33044, 23941, 24213, 2453, 34549, 11267]",23.543584599974565,70458,134,70592,"{55910: 0.8, 53496: 0.8, 67659: 0.8, 479: 0.8, 25923: 0.7, 39575: 0.3, 3526: 0.2, 18147: 0.2, 12421: 0.2, 9506: 0.1, 19033: 0.1, 17860: 0.1, 3495: 0.1, 12424: 0.1, 33044: 0.1, 23941: 0.0, 24213: 0.0, 2453: 0.0, 34549: 0.0, 11267: 0.0}"
home page of dictionary with word of day,"[7799, 2266, 61345, 61333, 61344, 61339, 61315, 63971, 48413, 35614, 61348, 8146, 45665, 11593, 71913, 28481, 71905, 27819, 71902, 30659]",16.062536599987652,72937,96,73033,"{7799: 0.9, 2266: 0.9, 61345: 0.8, 61333: 0.8, 61344: 0.8, 61339: 0.8, 61315: 0.8, 63971: 0.2, 48413: 0.2, 35614: 0.2, 61348: 0.2, 8146: 0.2, 45665: 0.1, 11593: 0.1, 71913: 0.1, 28481: 0.1, 71905: 0.0, 27819: 0.0, 71902: 0.0, 30659: 0.0}"
It display the Map with search bar,"[52816, 62878, 43743, 66563, 28540, 14689, 29647, 60543, 30729, 65263, 49178, 32239, 32246, 60544, 66555, 52129, 9978, 54527, 9970, 48325]",17.080936200043652,67999,96,68095,"{52816: 1.0, 62878: 0.9, 43743: 0.8, 66563: 0.8, 28540: 0.8, 14689: 0.2, 29647: 0.2, 60543: 0.2, 30729: 0.2, 65263: 0.0, 49178: 0.0, 32239: 0.0, 32246: 0.0, 60544: 0.0, 66555: 0.0, 52129: 0.0, 9978: 0.0, 54527: 0.0, 9970: 0.0, 48325: 0.0}"
Tiny Scanner,"[64675, 66873, 66344, 59411, 60292, 62591, 64676, 6585, 58984, 60293, 33506, 6134, 60307, 60291, 42569, 1764, 42568, 33692, 6787, 68681]",15.670019400015008,67883,127,68010,"{64675: 1.0, 66873: 0.8, 66344: 0.8, 59411: 0.8, 60292: 0.2, 62591: 0.2, 64676: 0.2, 6585: 0.1, 58984: 0.1, 60293: 0.1, 33506: 0.1, 6134: 0.1, 60307: 0.1, 60291: 0.1, 42569: 0.0, 1764: 0.0, 42568: 0.0, 33692: 0.0, 6787: 0.0, 68681: 0.0}"
