query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
Body care products,"[20162, 58748, 28739, 28737, 1397, 31801, 53548, 53546, 63387, 51773, 53541, 53543, 31802, 63384, 45731, 4447, 35997, 2849, 60568, 42521]",3.0291040999945835,3875,148,4023,"{20162: 0.9, 58748: 0.9, 28739: 0.9, 28737: 0.9, 1397: 0.3, 31801: 0.2, 53548: 0.2, 53546: 0.2, 63387: 0.2, 51773: 0.2, 53541: 0.1, 53543: 0.1, 31802: 0.1, 63384: 0.1, 45731: 0.1, 4447: 0.1, 35997: 0.1, 2849: 0.0, 60568: 0.0, 42521: 0.0}"
settings and options in a Gym App,"[29156, 1010, 54112, 33132, 8252, 66489, 30328, 2601, 2610, 29162, 45962, 29160, 55121, 39830, 45959, 45956, 32997, 18535, 2274, 2270]",3.5047501000008197,3866,141,4007,"{29156: 0.9, 1010: 0.9, 54112: 0.8, 33132: 0.8, 8252: 0.8, 66489: 0.8, 30328: 0.4, 2601: 0.3, 2610: 0.3, 29162: 0.2, 45962: 0.2, 29160: 0.2, 55121: 0.2, 39830: 0.1, 45959: 0.1, 45956: 0.1, 32997: 0.1, 18535: 0.1, 2274: 0.0, 2270: 0.0}"
today storms updates,"[71700, 52327, 59150, 58873, 37413, 50715, 58881, 70890, 13752, 13984, 64157, 1090, 10041, 54315, 1095, 23714, 27988, 62677, 11823, 29528]",3.0235931999995955,3732,148,3880,"{71700: 1.0, 52327: 0.9, 59150: 0.9, 58873: 0.9, 37413: 0.8, 50715: 0.8, 58881: 0.8, 70890: 0.7, 13752: 0.4, 13984: 0.3, 64157: 0.2, 1090: 0.2, 10041: 0.2, 54315: 0.2, 1095: 0.1, 23714: 0.1, 27988: 0.1, 62677: 0.1, 11823: 0.0, 29528: 0.0}"
a survery app with sinup and facebook login option,"[20931, 18535, 4305, 25374, 69548, 41917, 7849, 37666, 19707, 15939, 57920, 19704, 34569, 67673, 49335, 49334, 49336, 49332, 49338, 71940]",2.8130652000036207,3545,148,3693,"{20931: 0.9, 18535: 0.9, 4305: 0.9, 25374: 0.9, 69548: 0.8, 41917: 0.7, 7849: 0.3, 37666: 0.2, 19707: 0.2, 15939: 0.2, 57920: 0.2, 19704: 0.1, 34569: 0.1, 67673: 0.1, 49335: 0.1, 49334: 0.1, 49336: 0.1, 49332: 0.1, 49338: 0.0, 71940: 0.0}"
down nearby picks,"[31953, 41693, 40197, 56093, 65194, 50216, 48252, 22258, 42641, 69266, 61554, 56082, 69276, 31955, 31964, 61556, 67203, 67770, 68626, 36790]",3.2760649000047124,3432,141,3573,"{31953: 0.9, 41693: 0.9, 40197: 0.9, 56093: 0.9, 65194: 0.9, 50216: 0.8, 48252: 0.3, 22258: 0.3, 42641: 0.3, 69266: 0.2, 61554: 0.2, 56082: 0.2, 69276: 0.2, 31955: 0.1, 31964: 0.1, 61556: 0.1, 67203: 0.1, 67770: 0.1, 68626: 0.0, 36790: 0.0}"
screen with sample movies and information on recording with SnapMovie,"[19996, 65045, 20000, 15199, 65050, 65053, 20002, 65046, 15197, 23149, 29107, 37885, 71014, 18719, 44923, 65944, 44941, 6132, 67071, 20161]",3.467185100002098,3594,148,3742,"{19996: 1.0, 65045: 0.9, 20000: 0.9, 15199: 0.4, 65050: 0.3, 65053: 0.3, 20002: 0.2, 65046: 0.2, 15197: 0.2, 23149: 0.2, 29107: 0.1, 37885: 0.1, 71014: 0.1, 18719: 0.1, 44923: 0.1, 65944: 0.0, 44941: 0.0, 6132: 0.0, 67071: 0.0, 20161: 0.0}"
"Filter settings for choosing price range, number of beds and baths","[68029, 2834, 2839, 34423, 50515, 64993, 68027, 3089, 65001, 27833, 63632, 64988, 65000, 64989, 71793, 71794, 65924, 71427, 16889, 27692]",3.9268096999949194,4007,141,4148,"{68029: 1.0, 2834: 0.9, 2839: 0.9, 34423: 0.9, 50515: 0.8, 64993: 0.7, 68027: 0.4, 3089: 0.4, 65001: 0.3, 27833: 0.3, 63632: 0.2, 64988: 0.2, 65000: 0.2, 64989: 0.2, 71793: 0.1, 71794: 0.1, 65924: 0.1, 71427: 0.1, 16889: 0.1, 27692: 0.0}"
Details about cards and numbers,"[43707, 31170, 62634, 22557, 13556, 56935, 50395, 40864, 46272, 20802, 68164, 3769, 23855, 63748, 28148, 3813, 28128, 28955, 37517, 46278]",5.502753400003712,3570,127,3697,"{43707: 0.9, 31170: 0.9, 62634: 0.8, 22557: 0.8, 13556: 0.8, 56935: 0.8, 50395: 0.4, 40864: 0.4, 46272: 0.3, 20802: 0.3, 68164: 0.3, 3769: 0.2, 23855: 0.2, 63748: 0.2, 28148: 0.2, 3813: 0.1, 28128: 0.1, 28955: 0.1, 37517: 0.1, 46278: 0.0}"
"search bar with shopping categories, discount advertisement and account maintenance","[7334, 42815, 22741, 22744, 64305, 65757, 69527, 64428, 6911, 8170, 33330, 51361, 55532, 56464, 64303, 35904, 53884, 4186, 10423, 19345]",4.141017900001316,3722,141,3863,"{7334: 0.9, 42815: 0.9, 22741: 0.8, 22744: 0.8, 64305: 0.8, 65757: 0.7, 69527: 0.4, 64428: 0.4, 6911: 0.4, 8170: 0.3, 33330: 0.3, 51361: 0.2, 55532: 0.2, 56464: 0.2, 64303: 0.2, 35904: 0.1, 53884: 0.1, 4186: 0.1, 10423: 0.1, 19345: 0.1}"
home appliances,"[23920, 40668, 9286, 25966, 25962, 9285, 13575, 68770, 30791, 52944, 1087, 51323, 59601, 66314, 9281, 66317, 66313, 66310, 58913, 17689]",4.055957899996429,3776,148,3924,"{23920: 0.9, 40668: 0.9, 9286: 0.8, 25966: 0.8, 25962: 0.8, 9285: 0.8, 13575: 0.7, 68770: 0.6, 30791: 0.4, 52944: 0.3, 1087: 0.2, 51323: 0.2, 59601: 0.2, 66314: 0.2, 9281: 0.1, 66317: 0.1, 66313: 0.1, 66310: 0.1, 58913: 0.1, 17689: 0.0}"
