query,gui_ranking,rerank_time_seconds,input_tokens,output_tokens,total_tokens,id_score_map
Body care products,"[20162, 28739, 28737, 60568, 2849, 51773, 53541, 53543, 31801, 31802, 53548, 63384, 53546, 58748, 45731, 63387, 4447, 35997, 1397, 42521]",4.613647099999071,3875,120,3995,"{20162: 0.9, 28739: 0.8, 28737: 0.7, 60568: 0.3, 2849: 0.2, 51773: 0.2, 53541: 0.1, 53543: 0.1, 31801: 0.0, 31802: 0.0, 53548: 0.0, 63384: 0.0, 53546: 0.0, 58748: 0.0, 45731: 0.0, 63387: 0.0, 4447: 0.0, 35997: 0.0, 1397: 0.0, 42521: 0.0}"
settings and options in a Gym App,"[1010, 33132, 8252, 54112, 30328, 29156, 29162, 66489, 2601, 55121, 29160, 2610, 39830, 2274, 2270, 45959, 45956, 45962, 32997, 18535]",4.781906199998048,3866,120,3986,"{1010: 1.0, 33132: 0.9, 8252: 0.9, 54112: 0.7, 30328: 0.7, 29156: 0.4, 29162: 0.4, 66489: 0.4, 2601: 0.3, 55121: 0.3, 29160: 0.2, 2610: 0.2, 39830: 0.1, 2274: 0.0, 2270: 0.0, 45959: 0.0, 45956: 0.0, 45962: 0.0, 32997: 0.0, 18535: 0.0}"
today storms updates,"[52327, 59150, 58881, 71700, 70890, 58873, 10041, 37413, 50715, 13752, 62677, 1095, 23714, 13984, 54315, 64157, 11823, 1090, 27988, 29528]",4.781434700002137,3732,120,3852,"{52327: 1.0, 59150: 1.0, 58881: 1.0, 71700: 0.9, 70890: 0.9, 58873: 0.8, 10041: 0.7, 37413: 0.6, 50715: 0.6, 13752: 0.3, 62677: 0.2, 1095: 0.1, 23714: 0.1, 13984: 0.1, 54315: 0.1, 64157: 0.0, 11823: 0.0, 1090: 0.0, 27988: 0.0, 29528: 0.0}"
a survery app with sinup and facebook login option,"[7849, 4305, 25374, 37666, 18535, 57920, 20931, 15939, 69548, 41917, 71940, 49334, 49336, 49332, 19704, 34569, 19707, 67673, 49338, 49335]",3.950823400002264,3545,120,3665,"{7849: 0.8, 4305: 0.8, 25374: 0.8, 37666: 0.7, 18535: 0.7, 57920: 0.7, 20931: 0.6, 15939: 0.6, 69548: 0.6, 41917: 0.5, 71940: 0.2, 49334: 0.1, 49336: 0.1, 49332: 0.1, 19704: 0.0, 34569: 0.0, 19707: 0.0, 67673: 0.0, 49338: 0.0, 49335: 0.0}"
down nearby picks,"[31953, 41693, 61556, 65194, 68626, 61554, 22258, 42641, 48252, 50216, 36790, 67203, 69276, 31955, 31964, 69266, 40197, 56093, 56082, 67770]",3.8245316999964416,3432,120,3552,"{31953: 1.0, 41693: 0.9, 61556: 0.8, 65194: 0.8, 68626: 0.8, 61554: 0.7, 22258: 0.7, 42641: 0.7, 48252: 0.6, 50216: 0.6, 36790: 0.6, 67203: 0.5, 69276: 0.5, 31955: 0.3, 31964: 0.3, 69266: 0.2, 40197: 0.2, 56093: 0.2, 56082: 0.1, 67770: 0.1}"
screen with sample movies and information on recording with SnapMovie,"[19996, 20000, 20002, 6132, 65053, 23149, 37885, 65046, 15197, 44923, 65045, 65050, 15199, 44941, 67071, 29107, 71014, 18719, 65944, 20161]",4.646064900000056,3594,120,3714,"{19996: 1.0, 20000: 0.9, 20002: 0.5, 6132: 0.4, 65053: 0.3, 23149: 0.3, 37885: 0.2, 65046: 0.2, 15197: 0.2, 44923: 0.2, 65045: 0.1, 65050: 0.1, 15199: 0.1, 44941: 0.1, 67071: 0.1, 29107: 0.0, 71014: 0.0, 18719: 0.0, 65944: 0.0, 20161: 0.0}"
"Filter settings for choosing price range, number of beds and baths","[2834, 34423, 68029, 68027, 71427, 2839, 50515, 71793, 71794, 65001, 65000, 64993, 64989, 3089, 63632, 64988, 27692, 27833, 16889, 65924]",4.309040100000857,4007,120,4127,"{2834: 1.0, 34423: 1.0, 68029: 0.9, 68027: 0.8, 71427: 0.8, 2839: 0.7, 50515: 0.5, 71793: 0.3, 71794: 0.3, 65001: 0.3, 65000: 0.3, 64993: 0.3, 64989: 0.3, 3089: 0.3, 63632: 0.2, 64988: 0.2, 27692: 0.2, 27833: 0.2, 16889: 0.2, 65924: 0.1}"
Details about cards and numbers,"[43707, 31170, 13556, 23855, 62634, 22557, 50395, 56935, 3769, 28128, 68164, 46272, 20802, 40864, 3813, 28148, 46278, 63748, 37517, 28955]",3.903108999998949,3570,120,3690,"{43707: 0.9, 31170: 0.9, 13556: 0.9, 23855: 0.8, 62634: 0.8, 22557: 0.8, 50395: 0.8, 56935: 0.8, 3769: 0.7, 28128: 0.7, 68164: 0.7, 46272: 0.6, 20802: 0.6, 40864: 0.6, 3813: 0.5, 28148: 0.2, 46278: 0.1, 63748: 0.1, 37517: 0.1, 28955: 0.0}"
"search bar with shopping categories, discount advertisement and account maintenance","[65757, 33330, 42815, 64428, 7334, 22744, 64305, 22741, 53884, 6911, 69527, 64303, 55532, 56464, 51361, 8170, 35904, 4186, 19345, 10423]",5.064924500002235,3722,120,3842,"{65757: 1.0, 33330: 1.0, 42815: 0.8, 64428: 0.8, 7334: 0.7, 22744: 0.6, 64305: 0.6, 22741: 0.5, 53884: 0.5, 6911: 0.5, 69527: 0.4, 64303: 0.4, 55532: 0.3, 56464: 0.3, 51361: 0.2, 8170: 0.2, 35904: 0.1, 4186: 0.1, 19345: 0.1, 10423: 0.0}"
home appliances,"[9286, 25962, 9285, 9281, 40668, 13575, 25966, 68770, 59601, 52944, 51323, 30791, 17689, 23920, 1087, 66317, 66313, 66310, 58913, 66314]",3.5314350000044215,3776,120,3896,"{9286: 1.0, 25962: 0.9, 9285: 0.9, 9281: 0.8, 40668: 0.8, 13575: 0.7, 25966: 0.6, 68770: 0.5, 59601: 0.5, 52944: 0.3, 51323: 0.3, 30791: 0.2, 17689: 0.2, 23920: 0.1, 1087: 0.0, 66317: 0.0, 66313: 0.0, 66310: 0.0, 58913: 0.0, 66314: 0.0}"
